maintenance_id,vehicle_id,maintenance_type,maintenance_date,maintenance_mileage,maintenance_cost_usd,maintenance_duration_hours,next_maintenance_due_date,next_maintenance_due_mileage,maintenance_status,risk_score,parts_replaced,service_provider,warranty_covered
458,VH0032,Oil Change,2025-09-07,411508,52.93,6.7,2025-11-03,416732,In Progress,10,[],"Jones, Campbell and Lewis",False
459,VH0033,Transmission Service,2021-07-17,258232,2028.77,7.8,2021-11-24,158040,Completed,9,[],"Ramirez, Franklin and Ware",False
460,VH0033,Engine Repair,2024-12-20,307887,3447.72,6.9,2025-05-08,57551,Scheduled,3,"[""autem""]","Stafford, Fisher and Avila",True
461,VH0033,Body Work,2022-01-29,154974,1219.78,2.6,2022-03-13,313595,In Progress,6,"[""ipsum"", ""eius""]",Williams Group,True
462,VH0033,Body Work,2023-01-16,466790,1215.76,3.2,2023-04-10,389841,Completed,7,"[""harum""]",Wilson-Chavez,True
463,VH0033,Electrical Repair,2023-08-05,324870,1356.58,6.5,2023-10-02,147684,In Progress,6,"[""rerum"", ""molestiae"", ""ex""]","Smith, Smith and Logan",True
464,VH0033,Oil Change,2023-06-16,460250,64.67,1.3,2023-10-07,123350,Completed,5,"[""ab"", ""officiis"", ""id""]",Skinner Group,False
465,VH0033,Brake Service,2020-07-31,87602,969.48,3.8,2020-12-07,166998,Completed,9,"[""quibusdam""]","Williams, Newman and Jones",True
466,VH0033,Tire Replacement,2020-11-21,87015,764.82,4.4,2021-03-02,127307,In Progress,5,"[""nesciunt""]","Turner, Stewart and Reed",False
467,VH0033,Routine Service,2020-10-22,175426,290.02,6.4,2021-01-28,119464,Completed,3,[],Snyder-Williams,True
468,VH0033,Oil Change,2021-12-22,422216,109.49,5.5,2022-03-20,472851,Scheduled,5,"[""odit""]",Allison-Coffey,False
469,VH0034,Brake Service,2024-01-17,233451,1072.55,5.7,2024-05-16,396739,Completed,6,"[""minima"", ""sit"", ""corporis""]",Walker Inc,False
470,VH0034,Oil Change,2024-01-29,209792,87.3,7.1,2024-04-09,256216,In Progress,7,"[""iste"", ""voluptas"", ""nostrum""]",Jackson and Sons,False
471,VH0034,Oil Change,2025-03-11,359724,68.26,5.7,2025-05-13,130862,Completed,10,"[""maxime""]","Mayo, Villa and Parrish",False
472,VH0034,Tire Replacement,2024-04-22,338558,623.19,1.3,2024-08-18,107860,In Progress,6,"[""aperiam""]",Williams LLC,False
473,VH0034,Routine Service,2023-12-16,371902,375.53,2.7,2024-06-10,410377,Completed,5,"[""iure"", ""voluptas"", ""similique""]",Nelson-Jackson,True
474,VH0034,Transmission Service,2024-01-28,494661,2015.1,1.5,2024-06-17,440730,In Progress,4,[],Wilson-Flores,False
475,VH0034,Engine Repair,2024-02-05,493037,1258.89,6.8,2024-04-20,459454,Completed,7,"[""reprehenderit"", ""neque"", ""tempore""]",Barnett-Boyd,True
476,VH0034,Transmission Service,2024-04-09,429198,2393.04,7.4,2024-08-18,430180,Completed,9,"[""perferendis"", ""ut""]",Bray-Morris,False
477,VH0034,Brake Service,2025-03-16,230116,563.68,2.6,2025-05-25,195529,Completed,3,"[""et""]",Baker LLC,True
478,VH0034,Oil Change,2025-03-03,314476,83.61,5.6,2025-08-05,103268,Completed,4,"[""libero""]","Houston, Sanchez and Holland",True
479,VH0034,Electrical Repair,2025-06-11,299213,1307.11,5.8,2025-10-23,441448,In Progress,8,"[""voluptate""]",Jones Group,False
480,VH0034,Engine Repair,2023-12-05,301015,5027.38,4.5,2024-01-29,312643,Scheduled,6,"[""accusantium"", ""velit"", ""esse""]",Cardenas-Lopez,False
481,VH0035,Engine Repair,2019-01-13,250909,6502.98,3.0,2019-04-22,155340,Completed,8,[],Cervantes PLC,True
482,VH0035,Electrical Repair,2022-02-02,336447,1466.32,3.8,2022-03-27,345104,Scheduled,2,"[""ipsam""]",Erickson-Rios,True
483,VH0035,Engine Repair,2024-07-31,166626,6555.11,4.2,2024-12-27,374862,In Progress,7,"[""corrupti"", ""delectus"", ""est""]",Cruz-Chavez,True
484,VH0035,Preventive Maintenance,2022-11-20,287047,473.49,7.9,2023-02-20,429692,In Progress,4,"[""eligendi"", ""natus"", ""eaque""]",Ramirez and Sons,True
485,VH0035,Routine Service,2023-05-18,395615,322.22,4.3,2023-08-14,483201,Scheduled,2,[],"Wong, Thomas and Walter",False
486,VH0035,Routine Service,2023-10-25,183142,606.45,6.8,2023-11-30,334519,In Progress,8,"[""excepturi"", ""ad"", ""officia""]",Adams Group,True
487,VH0035,Engine Repair,2023-03-12,299420,6104.21,2.2,2023-04-21,207560,In Progress,1,"[""odio"", ""libero"", ""fuga""]",Mcintosh Inc,False
488,VH0035,Oil Change,2020-11-24,154820,107.49,5.1,2021-05-06,137955,In Progress,2,"[""error"", ""distinctio"", ""nam""]","Jordan, Cook and Alexander",False
489,VH0035,Preventive Maintenance,2021-01-05,86044,138.04,2.4,2021-02-28,357265,Scheduled,9,"[""architecto"", ""totam""]",Dennis-Henderson,True
490,VH0035,Engine Repair,2020-06-12,182672,3757.8,5.2,2020-08-14,446197,In Progress,1,"[""necessitatibus"", ""dolorum""]","Hill, Lawson and Stone",False
491,VH0035,Preventive Maintenance,2019-01-25,367220,315.9,5.1,2019-07-07,91492,Scheduled,10,"[""architecto""]","Wright, Rodriguez and Wilson",True
492,VH0035,Tire Replacement,2024-12-07,177011,1555.95,5.4,2025-03-03,96888,Completed,5,"[""repellat"", ""fugiat""]",Jones Inc,False
493,VH0035,Brake Service,2020-04-23,367961,491.31,4.4,2020-07-17,455223,Completed,8,"[""sit""]","Baldwin, Myers and Garcia",False
494,VH0035,Engine Repair,2023-09-25,153987,7054.29,2.3,2023-12-18,76987,Completed,2,[],"Adams, Harris and Floyd",False
495,VH0035,Transmission Service,2020-11-05,289245,2332.51,4.6,2021-01-09,140504,In Progress,7,[],Mccarthy-Roberts,True
496,VH0035,Brake Service,2018-04-11,68403,955.38,1.7,2018-07-09,378873,Scheduled,10,"[""ea"", ""provident""]","Howell, Stevenson and Phelps",True
497,VH0035,Body Work,2023-05-23,367074,1467.5,6.9,2023-11-04,276165,In Progress,5,[],Edwards Inc,False
498,VH0035,Engine Repair,2019-07-01,106994,2693.3,5.7,2019-09-06,386002,In Progress,1,"[""iusto"", ""odit""]",Rivers Ltd,False
499,VH0035,Tire Replacement,2021-10-18,100410,1504.3,2.4,2022-02-01,394641,In Progress,7,"[""iusto""]",Thompson LLC,False
500,VH0036,Oil Change,2025-09-12,461291,128.69,2.7,2025-12-23,188759,Scheduled,8,"[""dolores""]","Wolf, Smith and Bell",True
501,VH0036,Preventive Maintenance,2025-08-18,196583,108.0,2.8,2025-12-19,195204,In Progress,5,[],Freeman and Sons,False
502,VH0036,Tire Replacement,2025-08-18,186145,974.71,3.0,2026-02-13,430285,Scheduled,3,"[""aperiam"", ""ad""]","Frazier, Roberts and Perez",True
503,VH0036,Engine Repair,2025-08-20,215841,3147.52,5.5,2025-12-01,444453,In Progress,1,[],Rowe Inc,True
504,VH0036,Body Work,2025-08-07,451275,932.56,3.5,2026-01-14,341165,In Progress,10,"[""iusto"", ""odio"", ""porro""]","Bell, Gardner and Alvarado",True
505,VH0036,Brake Service,2025-08-04,372400,349.62,1.5,2025-10-04,132930,Scheduled,2,"[""officia"", ""accusantium""]",Turner-Cook,False
506,VH0036,Engine Repair,2025-08-21,421825,6298.66,5.7,2026-01-04,112709,Completed,5,"[""ut"", ""saepe""]",Rodriguez-Jennings,False
507,VH0036,Preventive Maintenance,2025-09-03,350499,294.08,5.9,2026-01-06,384613,Completed,9,[],Hernandez Group,True
508,VH0036,Body Work,2025-09-11,234445,793.32,6.5,2025-11-18,220494,Scheduled,7,"[""unde""]",Howard Inc,True
509,VH0036,Transmission Service,2025-08-04,112494,3097.72,3.8,2025-11-26,249161,Scheduled,2,"[""voluptatem"", ""non"", ""magni""]",Garner and Sons,False
510,VH0036,Tire Replacement,2025-09-15,383571,499.41,4.0,2025-11-25,113690,In Progress,10,"[""minus"", ""tempore""]",Sheppard Ltd,False
511,VH0036,Transmission Service,2025-08-31,233727,2086.51,3.0,2025-12-02,423431,Scheduled,9,"[""odio"", ""qui"", ""doloribus""]",Lozano-Bailey,True
512,VH0036,Oil Change,2025-08-09,77598,67.42,2.2,2025-11-20,444859,In Progress,10,"[""repudiandae""]",Landry-Hill,False
513,VH0036,Transmission Service,2025-07-31,202350,2712.13,7.2,2025-09-11,65997,In Progress,10,"[""repellendus""]","Miles, Flowers and Martinez",True
514,VH0036,Body Work,2025-09-07,260127,1787.36,2.9,2025-11-04,165114,In Progress,7,"[""reiciendis"", ""laborum"", ""illo""]",Montes Group,False
515,VH0037,Engine Repair,2025-05-04,129173,3890.93,7.0,2025-06-19,228260,Completed,1,"[""dignissimos"", ""omnis""]","Hernandez, Levy and Hanson",True
516,VH0037,Tire Replacement,2023-12-20,210277,849.86,2.4,2024-02-25,447432,Scheduled,2,"[""incidunt""]",Roberts-Marsh,False
517,VH0037,Electrical Repair,2020-07-31,142743,1182.27,2.1,2020-10-21,136269,Completed,5,[],Robinson PLC,True
518,VH0037,Routine Service,2021-02-22,142171,653.19,5.1,2021-06-30,315525,Scheduled,6,"[""porro"", ""inventore""]",Jordan Ltd,True
519,VH0037,Oil Change,2024-11-07,336011,145.03,3.0,2025-02-14,316155,In Progress,6,"[""architecto"", ""explicabo""]",Bell LLC,True
520,VH0037,Tire Replacement,2024-08-06,172284,474.24,4.6,2024-11-14,383681,In Progress,1,"[""provident"", ""vel""]","Moore, Miller and Nelson",False
521,VH0037,Engine Repair,2025-09-12,220736,6206.48,5.9,2026-01-23,338457,Scheduled,5,"[""eius"", ""non"", ""reprehenderit""]",Carter Inc,True
522,VH0037,Electrical Repair,2022-12-20,411150,1109.52,5.6,2023-04-24,385495,Scheduled,10,"[""libero"", ""expedita""]","Walsh, Henderson and Rasmussen",True
523,VH0037,Routine Service,2021-01-05,73648,279.88,3.2,2021-04-15,208631,Completed,7,"[""facilis"", ""incidunt""]","Collins, Elliott and Shelton",False
524,VH0037,Tire Replacement,2022-03-08,139764,1793.64,5.7,2022-04-18,456025,Scheduled,5,"[""repellendus""]",Vega and Sons,True
525,VH0037,Routine Service,2021-10-21,334229,646.71,4.5,2022-04-16,50672,Completed,4,[],Spencer-Turner,True
526,VH0037,Body Work,2020-12-12,397177,2624.63,3.2,2021-05-12,229637,Scheduled,3,"[""reiciendis"", ""sunt"", ""officiis""]","White, Patton and Bass",False
527,VH0037,Body Work,2021-01-01,376627,2890.6,3.0,2021-03-24,448577,In Progress,5,[],"Ramos, Edwards and Donovan",True
528,VH0037,Engine Repair,2024-03-21,294047,2501.87,4.9,2024-07-08,124835,Completed,4,"[""omnis"", ""libero"", ""nobis""]",Fisher-Jenkins,True
529,VH0038,Tire Replacement,2025-08-07,426817,585.0,6.2,2025-12-02,284515,In Progress,3,"[""ratione"", ""alias""]",Davis-Taylor,True
530,VH0038,Oil Change,2025-09-15,474442,76.74,2.1,2025-10-29,351629,Scheduled,6,"[""exercitationem""]","Hunt, Martinez and Daniels",True
531,VH0038,Oil Change,2025-08-31,415777,58.25,6.6,2025-10-29,280274,In Progress,2,"[""impedit"", ""asperiores"", ""mollitia""]",Powell Inc,True
532,VH0038,Engine Repair,2025-08-26,295725,4929.14,7.4,2025-10-19,50501,Completed,4,"[""quas"", ""officia""]",Miller LLC,False
533,VH0038,Routine Service,2025-09-12,327304,615.09,4.9,2026-01-11,100980,Scheduled,3,"[""totam"", ""corrupti"", ""iusto""]","Davis, Roberts and Olson",False
534,VH0039,Brake Service,2021-07-29,215259,955.91,7.6,2021-10-09,62715,Scheduled,7,[],Martinez PLC,False
535,VH0039,Preventive Maintenance,2023-09-13,179126,218.81,1.6,2024-01-05,158818,In Progress,3,"[""asperiores"", ""voluptates"", ""enim""]","Thomas, Yang and Simpson",True
536,VH0039,Oil Change,2020-11-27,240036,98.4,7.0,2021-01-16,244597,Completed,6,[],"Bowman, Moore and Fuller",True
537,VH0039,Body Work,2023-12-24,398604,2401.47,7.6,2024-03-29,419057,Completed,10,"[""ab""]",Hanson-Gonzalez,True
538,VH0039,Oil Change,2019-12-09,152785,135.55,3.5,2020-05-26,468429,Completed,4,"[""dolor""]","Hobbs, Meyer and Wright",True
539,VH0039,Brake Service,2020-02-29,219309,307.39,2.0,2020-04-03,362634,Completed,1,"[""alias"", ""quae"", ""numquam""]",Brown-Martinez,True
540,VH0039,Transmission Service,2022-01-10,266287,4644.77,6.3,2022-06-15,485236,Scheduled,2,"[""ea"", ""ex""]","Green, Salazar and Gonzales",True
541,VH0039,Engine Repair,2023-08-08,192613,3401.58,1.4,2023-10-17,320911,Scheduled,6,"[""cupiditate"", ""non""]",Fields and Sons,False
542,VH0039,Brake Service,2020-05-25,238612,769.54,2.2,2020-10-18,54325,Completed,3,"[""unde""]",Jackson Ltd,True
543,VH0039,Engine Repair,2023-11-09,210766,1267.9,7.4,2024-01-18,312945,Scheduled,6,"[""eligendi"", ""pariatur""]",Roberts-Contreras,False
544,VH0039,Tire Replacement,2025-06-19,418531,1111.12,5.2,2025-12-09,382313,Scheduled,3,"[""possimus""]",Contreras-Myers,True
545,VH0039,Engine Repair,2023-11-05,375291,7858.32,2.0,2023-12-06,377943,Completed,2,"[""corrupti"", ""officiis""]",Li-Hernandez,False
546,VH0039,Electrical Repair,2021-04-11,107770,1024.68,2.8,2021-08-09,496585,Completed,8,"[""cumque"", ""recusandae""]",Smith-Turner,True
547,VH0039,Routine Service,2023-07-09,470417,300.54,7.5,2023-12-12,389724,In Progress,7,"[""unde""]","Wallace, Odonnell and Kelly",False
548,VH0039,Transmission Service,2020-05-20,67424,1558.83,1.3,2020-10-03,407229,Scheduled,10,"[""officia"", ""harum"", ""accusamus""]",Howard PLC,True
549,VH0039,Body Work,2020-10-29,418846,1433.15,7.1,2021-01-05,91088,Completed,9,"[""voluptatibus""]","Myers, Brown and Rios",True
550,VH0039,Brake Service,2021-09-13,178298,380.92,2.0,2022-02-11,385311,In Progress,8,"[""recusandae"", ""labore""]",Espinoza-Buchanan,True
551,VH0039,Transmission Service,2021-03-31,159980,2360.67,4.0,2021-06-04,340316,In Progress,7,"[""unde"", ""incidunt"", ""mollitia""]",Hendricks Ltd,False
552,VH0040,Electrical Repair,2024-03-25,477621,1137.27,7.8,2024-09-19,83929,In Progress,5,"[""optio"", ""sequi"", ""unde""]",Johnston PLC,False
553,VH0040,Body Work,2025-01-26,200061,2249.95,6.9,2025-07-15,290619,In Progress,4,"[""qui"", ""facilis""]",Wolfe PLC,True
554,VH0040,Body Work,2025-08-03,97192,1116.74,3.8,2025-12-05,469836,Completed,6,"[""laudantium"", ""reprehenderit""]","Gallegos, Jones and Johnson",False
555,VH0040,Routine Service,2024-12-12,206209,776.38,5.2,2025-01-18,256231,In Progress,7,"[""eveniet""]",Ortega Group,False
556,VH0040,Engine Repair,2025-07-12,281176,4701.95,4.7,2025-08-12,241348,Completed,3,[],Morris-Hall,True
557,VH0040,Electrical Repair,2025-01-22,260917,810.07,4.7,2025-04-21,344970,In Progress,7,"[""ex""]",Yoder and Sons,True
558,VH0040,Transmission Service,2024-12-08,70313,1612.34,2.3,2025-01-24,103680,In Progress,5,"[""molestiae""]",Nielsen-Brown,False
559,VH0040,Transmission Service,2023-07-24,182235,4395.42,4.5,2023-11-02,175258,Completed,10,"[""amet""]","Jones, Hines and Obrien",False
560,VH0040,Electrical Repair,2025-04-05,131320,611.26,3.1,2025-09-01,490779,In Progress,7,"[""doloribus""]",Rodriguez-Cole,True
561,VH0040,Body Work,2023-03-23,474900,2181.99,7.4,2023-08-11,338420,Scheduled,5,"[""tempore""]","Hawkins, Gonzalez and Henry",False
562,VH0040,Tire Replacement,2024-10-17,113162,1856.59,5.6,2024-12-08,379554,In Progress,8,"[""et"", ""eligendi"", ""dolorem""]",Cervantes-Stokes,True
563,VH0040,Body Work,2023-05-24,142427,1077.56,7.4,2023-10-26,239946,In Progress,7,[],"Johnson, Moyer and Davis",True
564,VH0040,Transmission Service,2022-12-07,215624,3924.47,5.2,2023-04-05,190098,In Progress,2,"[""deserunt"", ""ab""]",Schroeder-Carroll,True
565,VH0041,Engine Repair,2025-01-03,62317,6823.37,7.5,2025-03-14,452668,Scheduled,10,"[""laboriosam"", ""ea""]","Blair, Bartlett and May",False
566,VH0041,Body Work,2023-01-29,176652,2987.42,1.8,2023-07-17,69567,Scheduled,7,[],Hudson Group,False
567,VH0041,Electrical Repair,2023-02-07,493794,786.1,4.5,2023-04-05,168880,In Progress,3,"[""magnam"", ""sit"", ""ratione""]",Solis Group,False
568,VH0041,Engine Repair,2022-09-20,243485,4840.61,3.8,2023-01-07,447904,Completed,5,"[""minus"", ""aut""]","Miller, Patton and Evans",True
569,VH0041,Transmission Service,2021-02-04,416275,4504.62,6.6,2021-07-26,174254,Completed,9,[],Williams PLC,False
570,VH0041,Preventive Maintenance,2022-03-19,78310,471.96,5.7,2022-05-04,239258,Scheduled,2,"[""et""]",Nielsen-King,False
571,VH0041,Oil Change,2024-03-01,472233,51.19,4.5,2024-07-14,286581,Scheduled,5,"[""atque""]",Donaldson Inc,False
572,VH0041,Engine Repair,2023-04-12,169389,7979.79,2.3,2023-06-04,445371,Completed,10,"[""excepturi"", ""quas"", ""similique""]","Collins, Montgomery and Gardner",False
573,VH0041,Tire Replacement,2025-02-24,241446,826.25,6.5,2025-05-23,175658,Completed,2,"[""reprehenderit"", ""optio""]",Delgado-Johnson,False
574,VH0042,Electrical Repair,2023-09-09,148814,729.63,4.9,2023-10-10,55584,In Progress,9,"[""eligendi""]",Barron-Brown,True
575,VH0042,Body Work,2022-12-04,326432,696.87,2.4,2023-03-02,484629,In Progress,7,[],"Rivera, Todd and Gaines",True
576,VH0042,Tire Replacement,2022-06-05,144409,1039.07,7.6,2022-11-25,477158,Scheduled,1,[],Jones-Gould,True
577,VH0042,Electrical Repair,2025-05-20,197915,1120.04,4.9,2025-06-28,444727,In Progress,10,"[""voluptates""]",Reed Inc,True
578,VH0042,Tire Replacement,2025-07-17,425590,844.73,2.7,2025-10-11,141884,Completed,6,[],"Stevenson, Noble and Clay",False
579,VH0042,Engine Repair,2023-11-21,268026,3617.8,8.0,2024-02-05,362762,Scheduled,1,"[""delectus"", ""fugit""]","Williams, Johnson and Romero",False
580,VH0042,Tire Replacement,2024-06-28,163721,1225.39,1.6,2024-12-01,92314,Completed,8,"[""non"", ""perferendis""]",Harrington-Walter,True
581,VH0042,Body Work,2023-01-03,259970,1653.78,4.4,2023-04-08,288203,Scheduled,10,[],Johnson and Sons,True
582,VH0042,Brake Service,2024-01-31,66530,513.99,3.2,2024-06-09,366189,In Progress,2,"[""modi""]","Sutton, Smith and Olson",True
583,VH0042,Brake Service,2023-07-27,335117,1037.03,5.9,2023-09-27,104054,In Progress,9,"[""minus"", ""voluptatem"", ""debitis""]",Miles-Dunn,False
584,VH0042,Electrical Repair,2022-08-13,116692,955.6,6.4,2022-12-02,231365,Scheduled,1,"[""cumque""]","Haas, Richardson and Lee",False
585,VH0042,Transmission Service,2023-09-28,314840,2810.46,6.9,2024-03-06,135840,Scheduled,1,"[""aspernatur"", ""ex""]",Davis Inc,True
586,VH0042,Electrical Repair,2023-01-03,482931,270.19,2.5,2023-02-22,227686,Scheduled,7,"[""quidem"", ""reiciendis""]",Ritter Inc,True
587,VH0042,Transmission Service,2025-04-10,359070,1677.38,6.2,2025-07-24,257435,Scheduled,3,[],Hess Inc,False
588,VH0043,Routine Service,2021-04-23,210638,303.11,4.3,2021-07-19,253842,Completed,2,"[""nulla"", ""ducimus""]",Williams-Bailey,True
589,VH0043,Engine Repair,2024-02-09,487802,7023.03,2.9,2024-04-18,206258,In Progress,3,"[""exercitationem"", ""illum"", ""delectus""]","Sanders, Sandoval and Douglas",False
590,VH0043,Brake Service,2021-05-27,488898,1190.01,6.1,2021-10-15,466644,Completed,8,"[""quisquam""]",Simpson Ltd,False
591,VH0043,Oil Change,2024-11-05,69554,149.1,6.6,2025-03-27,387092,Scheduled,3,"[""est"", ""numquam""]","Turner, Richardson and Arnold",True
592,VH0043,Tire Replacement,2025-02-08,100240,744.71,5.4,2025-08-07,145271,In Progress,3,"[""exercitationem"", ""qui""]",Flores-Weaver,False
593,VH0043,Brake Service,2021-07-14,407074,789.6,4.9,2021-10-01,403212,In Progress,3,[],Mccullough-Thornton,True
594,VH0044,Tire Replacement,2025-07-26,157983,1408.15,4.3,2025-09-14,250985,In Progress,1,"[""hic"", ""beatae"", ""enim""]",Skinner PLC,True
595,VH0044,Oil Change,2025-05-29,282646,92.0,1.6,2025-07-04,411765,Completed,9,"[""quod"", ""eos""]",Watson and Sons,True
596,VH0044,Electrical Repair,2025-05-01,428639,1049.96,2.8,2025-08-09,464266,Completed,4,[],Hale Ltd,False
597,VH0044,Tire Replacement,2025-08-16,309431,934.83,6.6,2025-09-22,253145,Completed,5,"[""cum"", ""adipisci""]",Huff-Nelson,False
598,VH0044,Brake Service,2025-07-21,425660,993.51,5.1,2025-12-23,402229,Completed,10,"[""in"", ""blanditiis"", ""assumenda""]",Bond-Cruz,False
599,VH0044,Electrical Repair,2025-04-28,141939,1347.1,5.5,2025-06-20,491332,Completed,8,"[""modi"", ""molestiae""]",Williams-Harris,True
600,VH0044,Oil Change,2025-05-23,430819,120.33,6.9,2025-11-12,257095,In Progress,5,[],Patel-Guerrero,True
601,VH0045,Oil Change,2025-04-05,157883,143.55,3.2,2025-06-26,64796,In Progress,1,"[""laudantium"", ""alias"", ""sequi""]",Livingston-Solomon,True
602,VH0045,Routine Service,2025-08-18,397375,714.1,6.9,2025-09-23,272489,In Progress,3,"[""rerum"", ""esse"", ""aliquam""]",Swanson-Howell,True
603,VH0045,Oil Change,2025-08-27,316015,52.85,2.3,2025-10-18,339635,In Progress,6,[],"Mcfarland, Goodwin and Aguirre",False
604,VH0045,Oil Change,2025-07-04,341808,149.58,1.2,2025-09-19,394865,In Progress,5,"[""veritatis"", ""illo"", ""quibusdam""]",Coleman-Ball,False
605,VH0045,Transmission Service,2025-08-11,144136,3698.65,4.9,2025-10-21,358593,In Progress,8,"[""facilis"", ""dolorem""]",Mcdonald-Riddle,True
606,VH0045,Engine Repair,2025-05-11,263614,3450.21,6.2,2025-09-22,352114,In Progress,9,"[""accusantium"", ""hic"", ""vero""]",Miller-Wright,False
607,VH0045,Body Work,2025-07-02,181675,1487.74,7.7,2025-11-29,252382,Scheduled,2,"[""labore""]","Foster, Gilbert and Ward",False
608,VH0045,Tire Replacement,2025-07-23,420486,1387.65,4.3,2025-09-22,496665,In Progress,7,[],"Patrick, Franklin and Martinez",False
609,VH0045,Preventive Maintenance,2025-07-07,255491,331.3,4.7,2025-09-01,261648,Completed,10,"[""iste"", ""fuga""]",Wallace Inc,True
610,VH0045,Routine Service,2025-06-15,490896,269.39,2.3,2025-10-23,313157,Completed,1,"[""omnis"", ""amet""]",Castillo-Richard,True
611,VH0045,Preventive Maintenance,2025-05-07,359485,104.62,2.5,2025-07-30,349562,Scheduled,10,"[""aspernatur"", ""repellendus"", ""beatae""]",Prince-Arnold,False
612,VH0045,Routine Service,2025-09-11,204340,253.23,2.9,2026-01-01,92244,Scheduled,2,"[""nulla"", ""ducimus"", ""facilis""]",Green-Simpson,False
613,VH0045,Electrical Repair,2025-05-09,217547,740.31,4.0,2025-10-08,325324,Scheduled,6,"[""doloribus"", ""dignissimos"", ""sit""]","Williams, Wilson and Johnson",True
614,VH0045,Body Work,2025-07-27,87094,1516.95,3.3,2025-12-04,467711,In Progress,7,"[""nulla""]","Stewart, Tran and Perez",True
615,VH0045,Preventive Maintenance,2025-09-11,266397,459.45,1.6,2025-11-19,191816,Completed,10,[],Hester-Smith,True
616,VH0045,Routine Service,2025-08-24,58623,530.92,7.8,2025-12-08,64763,In Progress,2,[],Fernandez-Williams,True
617,VH0045,Electrical Repair,2025-05-10,123832,483.0,4.5,2025-09-07,291965,In Progress,1,"[""corrupti"", ""autem"", ""quae""]",Wilson-Jones,True
618,VH0045,Engine Repair,2025-05-05,390410,6812.27,7.8,2025-09-17,76236,Scheduled,3,[],"Watson, Carson and Perry",False
619,VH0045,Tire Replacement,2025-07-20,123256,1061.25,3.7,2025-11-24,262808,Completed,5,"[""id"", ""dicta""]",Nguyen LLC,True
620,VH0046,Transmission Service,2024-12-29,183975,3794.4,6.8,2025-04-15,264139,Completed,7,"[""nemo""]","Brooks, Dunlap and Carter",False
621,VH0046,Electrical Repair,2024-08-31,171386,489.71,6.3,2025-01-01,260097,Scheduled,7,[],Williams-Conrad,True
622,VH0046,Engine Repair,2025-08-16,389375,7821.85,6.0,2025-10-02,71013,Completed,7,[],Rodriguez and Sons,False
623,VH0046,Engine Repair,2025-07-05,176282,4477.76,1.5,2025-08-23,255715,In Progress,7,"[""quaerat"", ""quaerat""]","Marquez, Case and Gray",True
624,VH0046,Transmission Service,2025-04-07,365400,2006.63,2.5,2025-05-31,93011,Scheduled,5,"[""unde"", ""distinctio""]",Farmer-Banks,True
625,VH0046,Tire Replacement,2025-09-02,165957,1767.96,6.5,2025-11-24,126296,In Progress,5,"[""et""]","Gordon, Andrews and Kelley",False
626,VH0046,Engine Repair,2025-01-31,256629,7994.2,1.5,2025-06-01,238433,Scheduled,5,"[""cupiditate"", ""quia"", ""asperiores""]","Kennedy, Warren and Alexander",True
627,VH0046,Preventive Maintenance,2024-12-03,193609,432.34,6.1,2025-05-30,310557,In Progress,9,"[""repellat""]",Bartlett-Murphy,False
628,VH0046,Tire Replacement,2025-07-02,332181,1433.12,5.0,2025-09-24,122789,In Progress,10,[],Hall-Edwards,True
629,VH0046,Brake Service,2025-09-09,405095,384.97,3.5,2025-11-03,419082,Scheduled,5,"[""voluptate"", ""excepturi"", ""numquam""]","Rosario, Ortiz and Miller",True
630,VH0046,Transmission Service,2025-03-29,246152,2830.58,5.3,2025-09-23,349815,In Progress,10,"[""autem"", ""magni"", ""ullam""]",Jacobs-Cole,True
631,VH0047,Preventive Maintenance,2024-11-21,117804,482.38,5.7,2025-03-04,360059,Completed,1,"[""reiciendis"", ""debitis"", ""quidem""]",Frank Group,True
632,VH0047,Transmission Service,2025-04-03,238282,2182.18,4.0,2025-05-29,134349,Scheduled,2,"[""vel"", ""deserunt"", ""sequi""]",Flynn-Peterson,False
633,VH0047,Preventive Maintenance,2024-06-17,267764,109.44,1.5,2024-08-12,177238,Completed,4,"[""nemo"", ""nihil"", ""quae""]",Johnston Ltd,False
634,VH0047,Oil Change,2025-07-20,196945,142.07,4.5,2025-11-25,288386,In Progress,7,"[""eius""]",Walter Inc,True
635,VH0047,Engine Repair,2024-07-12,137291,3657.46,2.2,2024-11-06,131320,Completed,10,"[""nihil""]",Cannon-Dawson,False
636,VH0047,Tire Replacement,2024-12-17,442308,1008.26,4.1,2025-03-26,92870,In Progress,2,"[""consequuntur"", ""debitis"", ""aliquid""]",Johnson-Jackson,False
637,VH0047,Preventive Maintenance,2024-05-25,423210,213.45,7.2,2024-08-17,178690,In Progress,5,[],"Camacho, Sellers and Strong",False
638,VH0048,Electrical Repair,2021-01-16,325451,277.44,3.5,2021-02-27,110683,In Progress,6,"[""natus"", ""voluptatem"", ""quos""]",Joseph Inc,False
639,VH0048,Routine Service,2020-11-30,383316,671.55,1.9,2021-02-08,74352,Scheduled,9,"[""labore"", ""rerum""]","Jensen, Mcknight and Williams",False
640,VH0048,Routine Service,2023-10-29,399776,791.12,2.9,2024-03-29,414271,Scheduled,6,"[""libero""]",Lozano-Mccoy,True
641,VH0048,Oil Change,2023-11-04,422521,148.33,3.0,2024-04-18,75814,Completed,4,"[""nostrum""]",Todd-Graves,True
